apps/erpnext/erpnext/config/learn.py +107,Lead to Quotation,ትዕምርተ የሚያደርሱ
DocType: Item,Moving Average,በመውሰድ ላይ አማካኝ
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +121,Row {0}: Payment against Sales/Purchase Order should always be marked as advance,ረድፍ {0}: ሽያጮች / የግዥ ትዕዛዝ ላይ ክፍያ ሁልጊዜ አስቀድሞ እንደ ምልክት ሊደረግባቸው ይገባል
apps/erpnext/erpnext/public/js/utils/item_selector.js +12,Add Items,ንጥሎች አክል
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py +62,Item must be added using 'Get Items from Purchase Receipts' button,ንጥል አዝራር &#39;የግዢ ደረሰኞች ከ ንጥሎች ያግኙ&#39; በመጠቀም መታከል አለበት
DocType: Lead Source,Source Name,ምንጭ ስም
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js +422,Please enter Item Code to get batch no,ባች ምንም ለማግኘት ንጥል ኮድ ያስገቡ
DocType: Academic Term,Term Start Date,የሚለው ቃል መጀመሪያ ቀን
DocType: Sales Partner,Targets,ዒላማዎች
DocType: Sales Order Item,Planned Quantity,የታቀደ ብዛት
DocType: Purchase Invoice,Address and Contact,አድራሻ እና ዕውቂያ
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py +243,Quantity required for Item {0} in row {1},ረድፍ ውስጥ ንጥል {0} ያስፈልጋል ብዛት {1}
DocType: Item,Is Purchase Item,የግዢ ንጥል ነው
DocType: Opportunity,To Discuss,ለመወያየት
DocType: Academic Term,Schools,ትምህርት ቤቶች
DocType: Expense Claim,Approver,አጽዳቂ
DocType: Tax Rule,Billing State,አከፋፈል መንግስት
apps/erpnext/erpnext/accounts/doctype/monthly_distribution/monthly_distribution.py +26,Percentage Allocation should be equal to 100%,መቶኛ ምደባዎች 100% ጋር እኩል መሆን አለበት
,Vehicle Expenses,የተሽከርካሪ ወጪ
DocType: Address,Shipping,መላኪያ
DocType: BOM,Conversion Rate,የልወጣ ተመን
DocType: Customer,Dormant,ዋልጌ
DocType: Delivery Note,DN-RET-,DN-RET-
DocType: Payment Entry Reference,Outstanding,ያልተከፈለ
DocType: Monthly Distribution,Distribution Name,የስርጭት ስም
DocType: Vehicle,Petrol,ቤንዚን
apps/erpnext/erpnext/stock/doctype/item_price/item_price.js +16,Import in Bulk,የጅምላ ውስጥ አስመጣ
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py +476,Cost Center is required in row {0} in Taxes table for type {1},አይነት ወጪ ማዕከል ረድፍ ውስጥ ያስፈልጋል {0} ግብሮች ውስጥ ሰንጠረዥ {1}
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js +142,Can refer row only if the charge type is 'On Previous Row Amount' or 'Previous Row Total',ወይም &#39;ቀዳሚ ረድፍ ጠቅላላ&#39; &#39;ቀዳሚ የረድፍ መጠን ላይ&#39; ክፍያ አይነት ከሆነ ብቻ ነው ረድፍ ሊያመለክት ይችላል
apps/erpnext/erpnext/schools/doctype/student_attendance_tool/student_attendance_tool.js +102,Mark Attendence,ማርቆስ Attendence
apps/erpnext/erpnext/config/projects.py +13,Project master.,ፕሮጀክት ዋና.
DocType: Terms and Conditions,"Standard Terms and Conditions that can be added to Sales and Purchases.

Examples:

1. Validity of the offer.
1. Payment Terms (In Advance, On Credit, part advance etc).
1. What is extra (or payable by the Customer).
1. Safety / usage warning.
1. Warranty if any.
1. Returns Policy.
1. Terms of shipping, if applicable.
1. Ways of addressing disputes, indemnity, liability, etc.
1. Address and Contact of your Company.","መደበኛ ውሎች እና ሽያጭ እና ግዢዎች ሊታከሉ የሚችሉ ሁኔታዎች. ምሳሌዎች: ቅናሽ 1. ስለሚቆይበት. 1. የክፍያ ውል (ምንጭ ላይ የቅድሚያ ውስጥ, ክፍል አስቀድመህ ወዘተ). 1. ተጨማሪ (ወይም የደንበኛ የሚከፈል) ምንድን ነው. 1. ደህንነት / የአጠቃቀም ማስጠንቀቂያ. 1. ዋስትና ካለ. 1. መመሪያ ያወጣል. መላኪያ 1. ውል, የሚመለከተው ከሆነ. ክርክሮችን ለመፍታት, ጥቅማጥቅም, ተጠያቂነት 1. መንገዶች, ወዘተ 1. አድራሻ እና የእርስዎ ኩባንያ ያግኙን."
DocType: Employee Leave Approver,Users who can approve a specific employee's leave applications,በአንድ የተወሰነ ሠራተኛ ፈቃድ መተግበሪያዎች ማጽደቅ የሚችሉ ተጠቃሚዎች
apps/erpnext/erpnext/accounts/report/purchase_register/purchase_register.py +69,Payable Account,የሚከፈለው መለያ
DocType: Employee,Exit Interview Details,መውጫ ቃለ ዝርዝሮች
DocType: Email Digest,Next email will be sent on:,ቀጣይ ኢሜይል ላይ ይላካል:
apps/erpnext/erpnext/accounts/doctype/asset/asset.py +40,Item {0} has been disabled,{0} ንጥል ተሰናክሏል
DocType: Production Planning Tool,Material Request For Warehouse,መጋዘን ያህል ቁሳዊ ጥያቄ
DocType: HR Settings,Employee Settings,የሰራተኛ ቅንብሮች
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py +236,Please enter Expense Account,የወጪ ሒሳብ ያስገቡ
DocType: Employee Attendance Tool,Marked Attendance HTML,ምልክት ተደርጎበታል ክትትል ኤችቲኤምኤል
DocType: BOM Replace Tool,Replace,ተካ
apps/erpnext/erpnext/manufacturing/doctype/production_order/production_order.py +193,"Stopped Production Order cannot be cancelled, Unstop it first to cancel","አቁሟል የምርት ትዕዛዝ ሊሰረዝ አይችልም, ለመሰረዝ መጀመሪያ Unstop"
apps/erpnext/erpnext/selling/doctype/quotation/quotation.js +725,Make Sales Order,የሽያጭ ትዕዛዝ አድርግ
apps/erpnext/erpnext/hr/doctype/process_payroll/process_payroll.js +86,Do you really want to Submit all Salary Slip from {0} to {1},በእርግጥ {0} ወደ ሁሉ የቀጣሪ አስገባ ይፈልጋሉ {1}
DocType: Account,Income,ገቢ
DocType: Salary Slip,Gross Pay,አጠቃላይ ክፍያ
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.js +78,You have entered duplicate items. Please rectify and try again.,አንተ የተባዙ ንጥሎች አስገብተዋል. ለማስተካከል እና እንደገና ይሞክሩ.
DocType: Vehicle Log,Service_Details,Service_Details
DocType: Cheque Print Template,Primary Settings,ዋና ቅንብሮች
DocType: Purchase Invoice,Supplier Invoice No,አቅራቢ ደረሰኝ የለም
DocType: Quotation,QTN-,QTN-
DocType: Supplier,Credit Days,የሥዕል ቀኖች
DocType: Lead,Do Not Contact,ያነጋግሩ አትበል
DocType: Purchase Invoice Item,Batch No,የጅምላ የለም
apps/erpnext/erpnext/controllers/accounts_controller.py +83,Note: Payment Entry will not be created since 'Cash or Bank Account' was not specified,ማስታወሻ: የክፍያ Entry ጀምሮ አይፈጠርም &#39;በጥሬ ገንዘብ ወይም በባንክ አካውንት&#39; አልተገለጸም
apps/erpnext/erpnext/config/stock.py +32,Stock Reports,የክምችት ሪፖርቶች
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +42,Private Equity,የግል ፍትህ
DocType: Sales Invoice Item,Available Batch Qty at Warehouse,መጋዘን ላይ ይገኛል የጅምላ ብዛት
apps/erpnext/erpnext/accounts/page/pos/pos.js +897,"Master data syncing, it might take some time","መምህር ውሂብ ማመሳሰል, ይህ የተወሰነ ጊዜ ሊወስድ ይችላል"
DocType: Fees,Program Enrollment,ፕሮግራም ምዝገባ
DocType: Production Order,Plan material for sub-assemblies,ንዑስ-አብያተ ክርስቲያናት ለ እቅድ ቁሳዊ
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.py +50,{0} ({1}) must have role 'Expense Approver',{0} ({1}) ሚና &#39;የወጪ አጽዳቂ&#39; ሊኖረው ይገባል
apps/erpnext/erpnext/accounts/doctype/account/account.py +127,Currency can not be changed after making entries using some other currency,የመገበያያ ገንዘብ አንዳንድ ሌሎች የምንዛሬ በመጠቀም ግቤቶች በማድረጉ በኋላ ሊቀየር አይችልም
apps/erpnext/erpnext/accounts/doctype/asset/depreciation.py +104,Asset {0} must be submitted,የንብረት {0} መቅረብ አለበት
DocType: Homepage Featured Product,Thumbnail,ድንክዬ
apps/erpnext/erpnext/patches/v4_0/create_price_list_if_missing.py +21,Standard Selling,መደበኛ ሽያጭ
apps/erpnext/erpnext/public/js/account_tree_grid.js +225,Opening Date and Closing Date should be within same Fiscal Year,ቀን እና መዝጊያ ቀን በመክፈት ተመሳሳይ በጀት ዓመት ውስጥ መሆን አለበት
apps/erpnext/erpnext/crm/doctype/opportunity/opportunity.py +131,Customer {0} does not exist,የደንበኛ {0} የለም
DocType: Pricing Rule,Buying,ሊገዙ
apps/erpnext/erpnext/config/website.py +17,"Settings for online shopping cart such as shipping rules, price list etc.","እንደ የመላኪያ ደንቦች, የዋጋ ዝርዝር ወዘተ እንደ በመስመር ላይ ግዢ ጋሪ ቅንብሮች"
DocType: Bank Reconciliation Detail,Cheque Date,ቼክ ቀን
DocType: Purchase Invoice,Warehouse where you are maintaining stock of rejected items,እናንተ ተቀባይነት ንጥሎች የአክሲዮን ጠብቆ የት መጋዘን
DocType: Issue,Opening Date,መክፈቻ ቀን
apps/erpnext/erpnext/stock/doctype/item/item.py +658,Item variant {0} exists with same attributes,ንጥል ተለዋጭ {0} ተመሳሳይ ባሕርያት ጋር አለ
DocType: Purchase Invoice,Start date of current invoice's period,የአሁኑ መጠየቂያ ያለው ጊዜ የመጀመሪያ ቀን
apps/erpnext/erpnext/accounts/doctype/account/account.py +170,Warehouse is mandatory,መጋዘን የግዴታ ነው
DocType: Training Event,Will send an email about the event to employees with status 'Open',ሁኔታ ጋር ሠራተኞች ክስተት ኢሜይል ይልካል &#39;Open&#39;
apps/erpnext/erpnext/config/learn.py +222,Bill of Materials,ቁሳቁሶች መካከል ቢል
apps/erpnext/erpnext/stock/doctype/item/item.py +178,Website Image should be a public file or website URL,የድር ጣቢያ ምስል ይፋዊ ፋይል ወይም ድር ጣቢያ ዩ አር ኤል መሆን አለበት
apps/erpnext/erpnext/public/js/controllers/transaction.js +894,It is needed to fetch Item Details.,ይህ የዕቃው መረጃ ማምጣት ያስፈልጋል.
apps/erpnext/erpnext/schools/doctype/student_attendance/student_attendance.py +39,Attendance Record {0} exists against Student {1},በስብሰባው ሪከርድ {0} የተማሪ ላይ አለ {1}
DocType: Vehicle Service,Vehicle Service,የተሽከርካሪ አገልግሎት
DocType: Serial No,Delivery Time,የማስረከቢያ ቀን ገደብ
DocType: Serial No,Is Cancelled,ተሰርዟል ነው
DocType: Cost Center,Cost Center Name,ኪሳራ ማዕከል ስም
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py +108,Negative Valuation Rate is not allowed,አሉታዊ ግምቱ ተመን አይፈቀድም
DocType: Employee,Prefered Contact Email,Prefered የእውቂያ ኢሜይል
apps/erpnext/erpnext/schools/doctype/grading_structure/grading_structure.py +24,"The intervals for Grade Code {0} overlaps with the grade intervals for other grades. 
                    Please check intervals {0} and {1} and try again",ክፍል ኮድ ለ ክፍተቶች {0} ሌሎች ክፍሎች ኛ ክፍል ልዩነት ጋር ይደራረባል. ያረጋግጡ ክፍተቶች {0} እና {1} እና እንደገና ይሞክሩ
apps/erpnext/erpnext/controllers/accounts_controller.py +285,Account {0} is invalid. Account Currency must be {1},መለያ {0} ልክ ያልሆነ ነው. መለያ ምንዛሬ መሆን አለበት {1}
apps/erpnext/erpnext/schools/doctype/academic_term/academic_term.py +31,The Term End Date cannot be later than the Year End Date of the Academic Year to which the term is linked (Academic Year {}). Please correct the dates and try again.,የሚለው ቃል መጨረሻ ቀን በኋላ የሚለው ቃል ጋር የተያያዘ ነው ይህም ወደ የትምህርት ዓመት ዓመት መጨረሻ ቀን በላይ መሆን አይችልም (የትምህርት ዓመት {}). ቀናት ለማረም እና እንደገና ይሞክሩ.
DocType: Job Applicant,Resume Attachment,ከቆመበት ቀጥል አባሪ
DocType: Delivery Note,Vehicle No,የተሽከርካሪ ምንም
DocType: Accounts Settings,Accounts Frozen Upto,Frozen እስከሁለት መለያዎች
DocType: Purchase Invoice,PINV-RET-,PINV-RET-
apps/erpnext/erpnext/accounts/doctype/mode_of_payment/mode_of_payment.py +28,Account does not match with Company,መለያ ኩባንያ ጋር አይዛመድም
DocType: Pricing Rule,Pricing Rule,የዋጋ አሰጣጥ ደንብ
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.js +142,You can not change rate if BOM mentioned agianst any item,BOM ማንኛውም ንጥል agianst የተጠቀሰው ከሆነ መጠን መቀየር አይችሉም
apps/erpnext/erpnext/hr/doctype/employee/employee.py +209,Today is {0}'s birthday!,ዛሬ {0} »ን የልደት ቀን ነው!
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py +90,Application period cannot be across two alocation records,የመተግበሪያ ክፍለ ጊዜ ሁለት alocation መዝገቦች ላይ መሆን አይችልም
DocType: Sales Team,Contribution (%),መዋጮ (%)
DocType: Delivery Note Item,Available Qty at From Warehouse,መጋዘን ከ ላይ ይገኛል ብዛት
DocType: Sales Partner,Agent,ወኪል
DocType: Issue,First Responded On,መጀመሪያ ላይ ምላሽ ሰጥተዋል
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.js +60,Show unclosed fiscal year's P&L balances,ያልተዘጋ በጀት ዓመት አ &amp; ኤል ሚዛን አሳይ
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.js +13,Please Delivery Note first,እባክዎ የመላኪያ ማስታወሻ መጀመሪያ
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.js +36,Make Payment Entry,የክፍያ Entry አድርግ
DocType: Item,Customer Items,የደንበኛ ንጥሎች
DocType: Request for Quotation Supplier,Download PDF,PDF አውርድ
apps/erpnext/erpnext/accounts/party.py +345,{0} {1} is disabled,{0} {1} ተሰናክሏል
apps/erpnext/erpnext/hub_node/page/hub/hub_body.html +18,No more results.,ተጨማሪ ውጤቶች የሉም.
apps/erpnext/erpnext/patches/v7_0/create_warehouse_nestedset.py +58,All Warehouses,ሁሉም መጋዘኖችን
DocType: Journal Entry,Print Heading,አትም HEADING
DocType: Purchase Order Item,Returned Qty,ተመለሱ ብዛት
DocType: Purchase Invoice,Total (Company Currency),ጠቅላላ (የኩባንያ የምንዛሬ)
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js +797,Select Item for Transfer,ሰደዳ ይምረጡ ንጥል
DocType: Opportunity,Lost Reason,የጠፋ ምክንያት
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +163,Dividends Paid,ትርፍ የሚከፈልበት
apps/erpnext/erpnext/hooks.py +112,Assessment Schedule,ግምገማ ፕሮግራም
apps/erpnext/erpnext/stock/doctype/item/item.py +653,Please specify Attribute Value for attribute {0},አይነታ እሴት የአይነት ይግለጹ {0}
DocType: SMS Center,Create Receiver List,ተቀባይ ዝርዝር ፍጠር
DocType: Purchase Invoice,Shipping Address,የመላኪያ አድራሻ
apps/erpnext/erpnext/accounts/page/pos/pos.js +1207,Enter value must be positive,ያስገቡ እሴት አዎንታዊ መሆን አለበት
,Reserved,የተያዘ
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.js +116,Please save the document before generating maintenance schedule,የጥገና ፕሮግራም ለማመንጨት በፊት ሰነዱን ያስቀምጡ
DocType: Packing Slip,To Package No.,ቁ ወደ ጥቅሉ
,Sales Person Target Variance Item Group-Wise,የሽያጭ ሰው ዒላማ ልዩነት ንጥል ቡድን ጥበበኛ
DocType: Employee,Current Address Is,የአሁኑ አድራሻ ነው
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +25,Energy,ኃይል
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js +718,Make ,አድርግ
DocType: Payment Entry,Payment References,የክፍያ ማጣቀሻዎች
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py +53,Expected Delivery Date cannot be before Sales Order Date,የሚጠበቀው የመላኪያ ቀን የሽያጭ ትዕዛዝ ቀን በፊት ሊሆን አይችልም
DocType: BOM Explosion Item,BOM Explosion Item,BOM ፍንዳታ ንጥል
DocType: HR Settings,Email Salary Slip to Employee,የተቀጣሪ ወደ የኢሜይል የቀጣሪ
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +449,Production Order {0} must be submitted,ትዕዛዝ {0} መቅረብ አለበት ፕሮዳክሽን
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +214,Row {0}: {1} {2} does not match with {3},ረድፍ {0}: {1} {2} ጋር አይዛመድም {3}
DocType: Item,Publish Item to hub.erpnext.com,hub.erpnext.com ወደ ንጥል አትም
DocType: Party Account,Party Account,የድግስ መለያ
apps/erpnext/erpnext/config/stock.py +299,Making Stock Entries,የክምችት ግቤቶችን ማድረግ
DocType: Sales Invoice Item,Customer Warehouse (Optional),የደንበኛ መጋዘን (አማራጭ)
DocType: Quotation Item,Stock Balance,የአክሲዮን ቀሪ
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +343,Please enter Reference date,የማጣቀሻ ቀን ያስገቡ
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +281,Total Debit must be equal to Total Credit. The difference is {0},ጠቅላላ ዴቢት ጠቅላላ ምንጭ ጋር እኩል መሆን አለባቸው. ልዩነቱ ነው {0}
DocType: Guardian,Occupation,ሞያ
apps/erpnext/erpnext/utilities/doctype/address/address.py +168,No default Address Template found. Please create a new one from Setup &gt; Printing and Branding &gt; Address Template.,ምንም ነባሪ አድራሻ አብነት አልተገኘም. ማዋቀር&gt; ማተም እና የምርት&gt; አድራሻ መለጠፊያ አንድ አዲስ ፍጠር እባክዎ.
DocType: Employee Leave Approver,Leave Approver,አጽዳቂ ውጣ
DocType: Purchase Invoice Item,Rejected Qty,ውድቅ ብዛት
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.js +117,Expense Claim is pending approval. Only the Expense Approver can update status.,ወጪ የይገባኛል ጥያቄ ተቀባይነት በመጠባበቅ ላይ ነው. ብቻ ኪሳራውን አጽዳቂ ሁኔታ ማዘመን ይችላሉ.
DocType: Sales Invoice Timesheet,Time Sheet,የጊዜ ሉህ
apps/erpnext/erpnext/accounts/doctype/account/account.py +218,Account {0} does not exist,መለያ {0} የለም
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py +34,Atleast one of the Selling or Buying must be selected,የ መሸጥ ወይም መግዛትና ውስጥ ቢያንስ አንድ መመረጥ አለበት
DocType: Asset,Disposal Date,ማስወገድ ቀን
DocType: Leave Type,Is Leave Without Pay,ይክፈሉ ያለ ውጣ ነው
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js +831,Delivery Note,የመላኪያ ማስታወሻ
DocType: Account,Equity,ፍትህ
,Invoiced Amount (Exculsive Tax),በደረሰኝ የተቀመጠው መጠን (Exculsive ታክስ)
apps/erpnext/erpnext/accounts/page/pos/pos.js +73, to ,ወደ
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py +29,Project Value,የፕሮጀክት ዋጋ
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js +317,Please select Company,ኩባንያ ይምረጡ
DocType: Supplier,Billing Currency,አከፋፈል ምንዛሬ
apps/erpnext/erpnext/public/js/templates/contact_list.html +31,No contacts added yet.,ምንም እውቂያዎች ገና ታክሏል.
DocType: Vehicle Log,Fuel Price,የነዳጅ ዋጋ
DocType: Holiday List,Clear Table,አጽዳ የርዕስ ማውጫ
DocType: Supplier,Default Payable Accounts,ነባሪ ተከፋይ መለያዎች
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py +139,Please select Price List,የዋጋ ዝርዝር እባክዎ ይምረጡ
DocType: Stock Settings,Percentage you are allowed to receive or deliver more against the quantity ordered. For example: If you have ordered 100 units. and your Allowance is 10% then you are allowed to receive 110 units.,መቶኛ መቀበል ወይም አዘዘ መጠን ላይ ተጨማሪ ማድረስ ይፈቀዳል. ለምሳሌ: 100 ቤቶች ትእዛዝ ከሆነ. እና በል ከዚያም 110 ቤቶች ለመቀበል የተፈቀደላቸው 10% ነው.
DocType: Production Planning Tool,Create Material Requests,ቁሳዊ ጥያቄዎች ፍጠር
apps/erpnext/erpnext/projects/doctype/task/task.py +37,'Expected Start Date' can not be greater than 'Expected End Date',&#39;የሚጠበቀው መጀመሪያ ቀን&#39; ከዜሮ በላይ &#39;የሚጠበቀው መጨረሻ ቀን&#39; ሊሆን አይችልም
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py +323,Reference No and Reference Date is mandatory for Bank transaction,ማጣቀሻ የለም እና የማጣቀሻ ቀን ባንክ ግብይት ግዴታ ነው
DocType: Purchase Invoice,End date of current invoice's period,የአሁኑ መጠየቂያ ያለው ክፍለ ጊዜ መጨረሻ ቀን
DocType: Sales Person,Select company name first.,በመጀመሪያ ይምረጡ የኩባንያ ስም.
DocType: Company,Round Off Cost Center,ወጪ ማዕከል ጠፍቷል በዙሪያቸው
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.js +56,Convert to Group,ቡድን ወደ ቀይር
DocType: Item,Website Item Groups,የድር ጣቢያ ንጥል ቡድኖች
DocType: Manufacturing Settings,Disable Capacity Planning and Time Tracking,አሰናክል አቅም የእቅዴ እና ሰዓት መከታተያ
DocType: Department,Department,ክፍል
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +50,Sports,ስፖርት
apps/erpnext/erpnext/accounts/report/bank_reconciliation_statement/bank_reconciliation_statement.py +45,Calculated Bank Statement balance,የተሰላው ባንክ መግለጫ ቀሪ
DocType: Cheque Print Template,Regular,መደበኛ
apps/erpnext/erpnext/accounts/doctype/account/account.py +96,Account with existing transaction cannot be converted to ledger,ነባር የግብይት ጋር መለያ ያሰኘንን ወደ ሊቀየር አይችልም
DocType: Training Event,Course,ትምህርት
apps/erpnext/erpnext/manufacturing/doctype/workstation/workstation.py +36,Row #{0}: Timings conflicts with row {1},የረድፍ # {0}: ረድፍ ጋር ጊዜዎች ግጭቶች {1}
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py +188,Serial No {0} not found,አልተገኘም ተከታታይ ምንም {0}
apps/erpnext/erpnext/controllers/accounts_controller.py +669,Charge of type 'Actual' in row {0} cannot be included in Item Rate,አይነት &#39;ትክክለኛው&#39; ረድፍ ውስጥ ኃላፊነት {0} ንጥል ተመን ውስጥ ሊካተቱ አይችሉም
DocType: Program Enrollment Tool,Program Enrollments,ፕሮግራም የመመዝገቢያ
apps/erpnext/erpnext/config/hr.py +7,Employee and Attendance,የሰራተኛ እና ክትትል
DocType: Account,Chargeable,እንዳንከብድበት
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.js +437,Show Salary Slip,አሳይ የቀጣሪ
apps/erpnext/erpnext/accounts/report/profitability_analysis/profitability_analysis.py +146,Gross Profit / Loss,አጠቃላይ ትርፍ / ማጣት
DocType: Student Admission,Admission Start Date,ምዝገባ መጀመሪያ ቀን
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +149,Proposal Writing,ሐሳብ መጻፍ
DocType: Production Plan Material Request,Material Request Date,ቁሳዊ ጥያቄ ቀን
DocType: Stock Ledger Entry,Actual Qty After Transaction,ግብይት በኋላ ትክክለኛው ብዛት
apps/erpnext/erpnext/setup/doctype/item_group/item_group.js +21,Item Group Tree,ንጥል የቡድን ዛፍ
DocType: Assessment,Assessment Name,ግምገማ ስም
DocType: Item Reorder,Re-Order Qty,ዳግም-ትዕዛዝ ብዛት
DocType: Opportunity,Mins to First Response,በመጀመሪያ ምላሽ ወደ ደቂቃዎች
DocType: Journal Entry,Total Credit,ጠቅላላ ክሬዲት
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +225,"Available qty is {0}, you need {1}",ይገኛል ብዛት {0}: የሚያስፈልግህ ነው {1}
DocType: Course,Course Code,የኮርስ ኮድ
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py +64,Item Row {idx}: {doctype} {docname} does not exist in above '{doctype}' table,ንጥል ረድፍ {idx}: {doctype} {DOCNAME} ከላይ ውስጥ የለም &#39;{doctype} »ሰንጠረዥ
DocType: Employee,Better Prospects,የተሻለ ተስፋ
DocType: Bank Reconciliation,Payment Entries,የክፍያ ግቤቶች
apps/erpnext/erpnext/config/buying.py +43,Supplier Type master.,አቅራቢው አይነት ጌታቸው.
DocType: Item,Supply Raw Materials for Purchase,አቅርቦት ጥሬ እቃዎች ግዢ
DocType: Asset Category Account,Asset Category Account,የንብረት ምድብ መለያ
apps/erpnext/erpnext/selling/report/sales_person_target_variance_item_group_wise/sales_person_target_variance_item_group_wise.py +59,Total Achieved,ጠቅላላ አሳክቷል
DocType: Task,Closing Date,መዝጊያ ቀን
DocType: Production Planning Tool,Select Items,ይምረጡ ንጥሎች
DocType: Assessment,Examiner Name,መርማሪ ስም
DocType: Company,Round Off Account,መለያ ጠፍቷል በዙሪያቸው
DocType: Buying Settings,Purchase Order Required,ትዕዛዝ ያስፈልጋል ግዢ
DocType: C-Form Invoice Detail,Net Total,የተጣራ ጠቅላላ
apps/erpnext/erpnext/schools/report/student_batch_wise_attendance/student_batch_wise_attendance.py +45,Not Marked,ምልክት ተደርጎበታል አይደለም
DocType: Stock Entry Detail,Serial No / Batch,ተከታታይ አይ / ባች
DocType: Payment Entry,Writeoff,ሰረዘ
DocType: Account,Temporary,ጊዜያዊ
,Customer Addresses And Contacts,የደንበኛ አድራሻዎች እና እውቂያዎች
DocType: Purchase Receipt,Other Details,ሌሎች ዝርዝሮች
,Employees working on a holiday,አንድ በዓል ላይ የሚሰሩ ሰራተኞች
DocType: Upload Attendance,Import Log,አስመጣ ምዝግብ ማስታወሻ
apps/erpnext/erpnext/public/js/setup_wizard.js +237,Your Customers,የእርስዎ ደንበኞች
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py +154,Row # ,ረድፍ #
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +183,Leaves per Year,ዓመት በአንድ ማምለኩን
DocType: Training Event,Exam,ፈተና
,Student Fee Collection,የተማሪ ክፍያ ስብስብ
DocType: Lead,Lead Owner,በእርሳስ ባለቤት
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +554,Manufacturing Quantity is mandatory,ከማኑፋክቸሪንግ ብዛት የግዴታ ነው
DocType: Vehicle Log,Odometer,ቆጣሪው
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py +130,Bank account cannot be named as {0},የባንክ ሂሳብ እንደ የሚባል አይችልም {0}
DocType: Stock Entry,Customer or Supplier Details,የደንበኛ ወይም አቅራቢ ዝርዝሮች
DocType: Delivery Note,Transporter Info,አጓጓዥ መረጃ
DocType: Buying Settings,Purchase Receipt Required,የግዢ ደረሰኝ ያስፈልጋል
apps/erpnext/erpnext/controllers/accounts_controller.py +551,Row #{0}: Asset {1} does not linked to Item {2},የረድፍ # {0}: {1} የንብረት ንጥል ጋር የተገናኘ አይደለም {2}
DocType: Designation,Designation,ስያሜ
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py +229,Currency of the price list {0} is not similar with the selected currency {1},የዋጋ ዝርዝር {0} ምንዛሬ በተመረጠው ምንዛሬ ጋር ተመሳሳይ ነው {1}
DocType: Customer Group,Parent Customer Group,የወላጅ የደንበኞች ቡድን
DocType: Item,Warranty Period (in days),(ቀናት ውስጥ) የዋስትና ክፍለ ጊዜ
DocType: BOM Replace Tool,The new BOM after replacement,ምትክ በኋላ ወደ አዲሱ BOM
